"LICH_SPPCD","YEARSTART","YEAREND","SPP_ACRONYM","GENUS","SPECIES","CN","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
2703,1993,,"Fpupra","Flavopunctelia","praesignis","688654000333","",2004-03-22,"999","",2005-06-07,"333"
2704,1993,,"Fpusor","Flavopunctelia","soredica","688655000333","",2004-03-22,"999","",,""
2800,1993,,"Het","Heterodermia","","688701000333","",2004-03-22,"999","",2005-06-07,"333"
2801,1993,,"Hetalb","Heterodermia","albicans","688676000333","",2004-03-22,"999","",2005-06-07,"333"
2802,1993,,"Hetapp","Heterodermia","appalachensis","688677000333","",2004-03-22,"999","",2005-06-07,"333"
2803,1993,,"Hetbar","Heterodermia","barbifera","688678000333","",2004-03-22,"999","",2005-06-07,"333"
2804,1993,,"Hetcas","Heterodermia","casarettiana","688679000333","",2004-03-22,"999","",2005-06-07,"333"
2805,1993,,"Hetcho","Heterodermia","chondroidea","688680000333","",2004-03-22,"999","",2005-06-07,"333"
2806,1993,,"Hetcro","Heterodermia","crocea","688681000333","",2004-03-22,"999","",2005-06-07,"333"
2807,1993,,"Hetden","Heterodermia","dendritica","688682000333","",2004-03-22,"999","",2005-06-07,"333"
2808,1993,,"Hetdia","Heterodermia","diademata","688683000333","",2004-03-22,"999","",2005-06-07,"333"
2809,1993,,"Hetech","Heterodermia","echinata","688684000333","",2004-03-22,"999","",2005-06-07,"333"
2810,1993,,"Heteri","Heterodermia","erinacea","688685000333","",2004-03-22,"999","",2005-06-07,"333"
2811,1993,,"Hetgal","Heterodermia","galactophylla","688686000333","",2004-03-22,"999","",2005-06-07,"333"
2812,1993,,"Hetgra","Heterodermia","granulifera","688687000333","",2004-03-22,"999","",2005-06-07,"333"
2813,1993,,"Hethyp","Heterodermia","hypoleuca","688688000333","",2004-03-22,"999","",2005-06-07,"333"
2814,1993,2006,"Hetleu","Heterodermia","leucomelos","688690000333","",2004-03-22,"999","",2007-05-15,"333"
2814,2006,,"Hetleu","Heterodermia","leucomela","690517000333","",2007-05-15,"333","",2007-05-15,"333"
2815,1993,,"Hetmic","Heterodermia","microphylla","688691000333","",2004-03-22,"999","",2005-06-07,"333"
2816,1993,,"Hetobs","Heterodermia","obscurata","688692000333","",2004-03-22,"999","",2005-06-07,"333"
2817,1993,,"Hetpod","Heterodermia","podocarpa","688693000333","",2004-03-22,"999","",2005-06-07,"333"
2818,1993,,"Hetpro","Heterodermia","propagulifera","688694000333","",2004-03-22,"999","",2005-06-07,"333"
2819,1993,,"Hetpse","Heterodermia","pseudospeciosa","688695000333","",2004-03-22,"999","",2005-06-07,"333"
2820,1993,,"Hetrug","Heterodermia","rugulosa","688696000333","",2004-03-22,"999","",2005-06-07,"333"
2821,1993,,"Hetsit","Heterodermia","sitchensis","688697000333","",2004-03-22,"999","",2005-06-07,"333"
2822,1993,,"Hetspe","Heterodermia","speciosa","688698000333","",2004-03-22,"999","",2005-06-07,"333"
2823,1993,,"Hetsqu","Heterodermia","squamulosa","688699000333","",2004-03-22,"999","",2005-06-07,"333"
2824,1993,,"Hettro","Heterodermia","tropica","688700000333","",2004-03-22,"999","",2005-06-07,"333"
2825,1999,,"Hetjap","Heterodermia","japonica","688689000333","",2004-03-22,"999","",2005-06-07,"333"
2900,1993,,"Hph","Hyperphyscia","","688705000333","",2004-03-22,"999","",2005-06-07,"333"
2901,1993,,"Hphadg","Hyperphyscia","adglutinata","688702000333","",2004-03-22,"999","",2005-06-07,"333"
2902,1993,,"Hphmin","Hyperphyscia","minor","688703000333","",2004-03-22,"999","",2005-06-07,"333"
2903,1993,,"Hphsyn","Hyperphyscia","syncolla","688704000333","",2004-03-22,"999","",2005-06-07,"333"
3000,1993,,"Hce","Hypocenomyce","","688714000333","",2004-03-22,"999","",2005-06-07,"333"
3001,1993,,"Hceant","Hypocenomyce","anthracophila","688706000333","",2004-03-22,"999","",2005-06-07,"333"
3002,1993,,"Hcecas","Hypocenomyce","castaneocinerea","688707000333","",2004-03-22,"999","",,""
3003,1993,,"Hcefri","Hypocenomyce","friesii","688708000333","",2004-03-22,"999","",,""
3004,1993,,"Hceleu","Hypocenomyce","leucococca","688709000333","",2004-03-22,"999","",2005-06-07,"333"
3005,1993,,"Hcepra","Hypocenomyce","praestabilis","688710000333","",2004-03-22,"999","",2005-06-07,"333"
3006,1993,,"Hcesca","Hypocenomyce","scalaris","688711000333","",2004-03-22,"999","",,""
3007,1993,,"Hcesor","Hypocenomyce","sorophora","688712000333","",2004-03-22,"999","",2005-06-07,"333"
3008,1993,,"Hcexan","Hypocenomyce","xanthococca","688713000333","",2004-03-22,"999","",2005-06-07,"333"
